iter	Passed	Remaining
1395	22234	1656
1396	22256	1640
1397	22277	1625
1398	22294	1609
1399	22309	1593
1400	22325	1577
1401	22343	1561
1402	22360	1545
1403	22375	1529
1404	22392	1514
1405	22407	1498
1406	22425	1482
1407	22441	1466
1408	22458	1450
1409	22473	1434
1410	22490	1418
1411	22508	1402
1412	22526	1386
1413	22548	1371
1414	22575	1356
1415	22593	1340
1416	22611	1324
1417	22626	1308
1418	22643	1292
1419	22658	1276
1420	22674	1260
1421	22696	1244
1422	22716	1229
1423	22737	1213
1424	22756	1197
1425	22775	1181
1426	22790	1165
1427	22806	1149
1428	22821	1133
1429	22840	1118
1430	22856	1102
1431	22873	1086
1432	22889	1070
1433	22907	1054
1434	22925	1038
1435	22944	1022
1436	22961	1006
1437	22978	990
1438	23000	974
1439	23018	959
1440	23034	943
1441	23049	927
1442	23066	911
1443	23082	895
1444	23099	879
1445	23115	863
1446	23131	847
1447	23148	831
1448	23169	815
1449	23188	799
1450	23204	783
1451	23221	767
1452	23237	751
1453	23254	735
1454	23275	719
1455	23296	704
1456	23313	688
1457	23348	672
1458	23371	656
1459	23389	640
1460	23404	624
1461	23422	608
1462	23439	592
1463	23455	576
1464	23472	560
1465	23488	544
1466	23503	528
1467	23519	512
1468	23534	496
1469	23550	480
1470	23564	464
1471	23580	448
1472	23601	432
1473	23619	416
1474	23637	400
1475	23654	384
1476	23670	368
1477	23689	352
1478	23707	336
1479	23728	320
1480	23749	304
1481	23767	288
1482	23785	272
1483	23804	256
1484	23820	240
1485	23836	224
1486	23852	208
1487	23870	192
1488	23886	176
1489	23902	160
1490	23918	144
1491	23935	128
1492	23951	112
1493	23967	96
1494	23990	80
1495	24008	64
1496	24023	48
1497	24039	32
1498	24056	16
1499	24071	0
